illness: Simple cartoon drawing of a illness, centered on a plain light gray background. No text. No extra objects. Thick black outlines. Only the illness, in a clean, child-friendly style.
cough: Simple cartoon drawing of a cough, centered on a plain light gray background. No text. No extra objects. Thick black outlines. Only the cough, in a clean, child-friendly style.
runny nose: Simple cartoon drawing of a runny nose, centered on a plain light gray background. No text. No extra objects. Thick black outlines. Only the runny nose, in a clean, child-friendly style.
fever: Simple cartoon drawing of a fever, centered on a plain light gray background. No text. No extra objects. Thick black outlines. Only the fever, in a clean, child-friendly style.
flu: Simple cartoon drawing of a flu, centered on a plain light gray background. No text. No extra objects. Thick black outlines. Only the flu, in a clean, child-friendly style.
headache: Simple cartoon drawing of a headache, centered on a plain light gray background. No text. No extra objects. Thick black outlines. Only the headache, in a clean, child-friendly style.
hospital: Simple cartoon drawing of a hospital, centered on a plain light gray background. No text. No extra objects. Thick black outlines. Only the hospital, in a clean, child-friendly style.
health center: Simple cartoon drawing of a health center, centered on a plain light gray background. No text. No extra objects. Thick black outlines. Only the health center, in a clean, child-friendly style.
doctor: Simple cartoon drawing of a doctor, centered on a plain light gray background. No text. No extra objects. Thick black outlines. Only the doctor, in a clean, child-friendly style.
nurse: Simple cartoon drawing of a nurse, centered on a plain light gray background. No text. No extra objects. Thick black outlines. Only the nurse, in a clean, child-friendly style.
patient: Simple cartoon drawing of a patient, centered on a plain light gray background. No text. No extra objects. Thick black outlines. Only the patient, in a clean, child-friendly style.
bacteria: Simple cartoon drawing of a bacteria, centered on a plain light gray background. No text. No extra objects. Thick black outlines. Only the bacteria, in a clean, child-friendly style.
virus: Simple cartoon drawing of a virus, centered on a plain light gray background. No text. No extra objects. Thick black outlines. Only the virus, in a clean, child-friendly style.
medicine: Simple cartoon drawing of a medicine, centered on a plain light gray background. No text. No extra objects. Thick black outlines. Only the medicine, in a clean, child-friendly style.
vaccine: Simple cartoon drawing of a vaccine, centered on a plain light gray background. No text. No extra objects. Thick black outlines. Only the vaccine, in a clean, child-friendly style.
thermometer: Simple cartoon drawing of a thermometer, centered on a plain light gray background. No text. No extra objects. Thick black outlines. Only the thermometer, in a clean, child-friendly style.
pill: Simple cartoon drawing of a pill, centered on a plain light gray background. No text. No extra objects. Thick black outlines. Only the pill, in a clean, child-friendly style.
bandage: Simple cartoon drawing of a bandage, centered on a plain light gray background. No text. No extra objects. Thick black outlines. Only the bandage, in a clean, child-friendly style.
ambulance: Simple cartoon drawing of a ambulance, centered on a plain light gray background. No text. No extra objects. Thick black outlines. Only the ambulance, in a clean, child-friendly style.
dentist: Simple cartoon drawing of a dentist, centered on a plain light gray background. No text. No extra objects. Thick black outlines. Only the dentist, in a clean, child-friendly style.
pharmacy: Simple cartoon drawing of a pharmacy, centered on a plain light gray background. No text. No extra objects. Thick black outlines. Only the pharmacy, in a clean, child-friendly style.
patient with runny nose: Simple cartoon drawing of a patient with runny nose, centered on a plain light gray background. No text. No extra objects. Thick black outlines. Only the patient with runny nose, in a clean, child-friendly style.
child with fever: Simple cartoon drawing of a child with fever, centered on a plain light gray background. No text. No extra objects. Thick black outlines. Only the child with fever, in a clean, child-friendly style.
patient with fever and thermometer: Simple cartoon drawing of a patient with fever and thermometer, centered on a plain light gray background. No text. No extra objects. Thick black outlines. Only the patient with fever and thermometer, in a clean, child-friendly style.
